case topic,Case Number,Case Open Date,Opened Date_Day of Week
Audio Issues on Echo,1,2023-04-27T10:32:44,Thursday
Users Management,1,2023-04-27T10:32:54,Thursday
FTP,1,2023-04-27T10:33:19,Thursday
User Management,1,2023-04-27T10:33:21,Thursday
Launching Application,1,2023-04-27T10:35:40,Thursday
Unable to Login,1,2023-04-27T10:36:35,Thursday
Connection Issue,1,2023-04-27T10:37:02,Thursday
Dashboard,1,2023-04-27T10:37:35,Thursday
Reconnecting,1,2023-04-27T10:37:54,Thursday
Unable to Login,1,2023-04-27T10:39:19,Thursday
Users Management,1,2023-04-27T10:39:49,Thursday
Launching Application,1,2023-04-27T10:40:00,Thursday
Speech Analytics,1,2023-04-27T10:41:04,Thursday
Case Submission,1,2023-04-27T10:43:01,Thursday
Recordings,1,2023-04-27T10:45:50,Thursday
FTP,1,2023-04-27T10:50:14,Thursday
Contacts,1,2023-04-27T10:50:24,Thursday
Standard Report,1,2023-04-27T10:50:36,Thursday
Custom Report,1,2023-04-27T10:51:17,Thursday
IVR,1,2023-04-27T10:53:44,Thursday
MACD,1,2023-04-27T10:54:03,Thursday
Recordings,1,2023-04-27T10:55:14,Thursday
Unable to Login,1,2023-04-27T10:55:27,Thursday
Custom Report,1,2023-04-27T10:56:59,Thursday
Unable to Login,1,2023-04-27T10:58:50,Thursday
Audio Issues,1,2023-04-27T10:59:12,Thursday
Users Management,1,2023-04-27T11:01:56,Thursday
ANI,1,2023-04-27T11:03:28,Thursday
Launching Application,1,2023-04-27T11:03:51,Thursday
Dialing Behavior,1,2023-04-27T11:04:11,Thursday
Recordings,1,2023-04-27T11:04:42,Thursday
Custom Report,1,2023-04-27T11:04:53,Thursday
Configuration Issue,1,2023-04-27T11:08:31,Thursday
Unable to Login,1,2023-04-27T11:09:28,Thursday
Launching Application,1,2023-04-27T11:10:21,Thursday
Unable to Login,1,2023-04-27T11:10:50,Thursday
Campaign Profiles,1,2023-04-27T11:12:09,Thursday
Dialing Rules,1,2023-04-27T11:12:12,Thursday
Audio Issues,1,2023-04-27T11:13:26,Thursday
Launching Application,1,2023-04-27T11:13:45,Thursday
ANI,1,2023-04-27T11:14:54,Thursday
Custom Report,1,2023-04-27T11:15:05,Thursday
Dialing Behavior,1,2023-04-27T11:15:07,Thursday
User Management,1,2023-04-27T11:15:59,Thursday
Users,1,2023-04-27T11:18:29,Thursday
Users Management,1,2023-04-27T11:19:23,Thursday
Audio Issues on Echo,1,2023-04-27T11:20:14,Thursday
Connection Issue,1,2023-04-27T11:21:53,Thursday
Launching Application,1,2023-04-27T11:22:00,Thursday
Single Sign-On,1,2023-04-27T11:22:42,Thursday
Error Message,1,2023-04-27T11:23:44,Thursday
Work Administration,1,2023-04-27T11:24:19,Thursday
IVR,1,2023-04-27T11:24:53,Thursday
Lists,1,2023-04-27T11:25:01,Thursday
Unable to Login,1,2023-04-27T11:26:35,Thursday
Recordings,1,2023-04-27T11:27:36,Thursday
Users Management,1,2023-04-27T11:28:22,Thursday
Error Message,1,2023-04-27T11:30:29,Thursday
